County,Income,State
Kewaunee,45183,WI
La Crosse,47134,WI
Lafayette,42908,WI
Langlade,41836,WI
Lincoln,43935,WI
Manitowoc,45767,WI
Marathon,47617,WI
Marinette,42296,WI
Marquette,39340,WI
Menominee,28761,WI
Milwaukee,45099,WI
Monroe,39766,WI
Oconto,44140,WI
Oneida,47868,WI
Outagamie,49191,WI
Ozaukee,79255,WI
Pepin,46468,WI
Pierce,44636,WI
Polk,44669,WI
Portage,43699,WI
Price,44166,WI
Racine,46412,WI
Richland,41198,WI
Rock,42026,WI
Rusk,42704,WI
St. Croix,52858,WI
Sauk,45847,WI
Sawyer,43724,WI
Shawano,40357,WI
Sheboygan,50081,WI
Taylor,38313,WI
Trempealeau,42616,WI
Vernon,38766,WI
Vilas,51814,WI
Walworth,46737,WI
Washburn,45307,WI
Washington,54760,WI
Waukesha,69111,WI
Waupaca,44009,WI
Waushara,39064,WI
Winnebago,45852,WI
Wood,44601,WI
Albany,40301,WY
Big Horn,35888,WY
Campbell,48842,WY
Carbon,52575,WY
Converse,49290,WY
Crook,46013,WY
Fremont,42013,WY
Goshen,41492,WY
Hot Springs,50891,WY
Johnson,47629,WY
Laramie,50563,WY
Lincoln,41139,WY
Natrona,67023,WY
Niobrara,45020,WY
Park,49600,WY
Platte,47027,WY
Sheridan,54727,WY
Sublette,50090,WY
Sweetwater,49870,WY
Teton,233860,WY
Uinta,38797,WY
Washakie,45933,WY
Weston,43340,WY
